"vItemNumber","vLocation","vDescription","vShortDesc","vLook","vGenColor","vGenItemType","vMetalColor","vSizeType","vMetalType","vKeywords","vOnSale","vFeaturedItem","vSorting","vAggregation","vMaterialDesc","vFeatureDesc","vDetailDesc","itemprice_1","itemprice_2","imagefilename"
"C181450253","400","You're always dressed to kill whether you're working from Nine to Wine or heading out to a party. You can rely on these earrings to top off that fashion forward vibe you have going!","The Scarlett Pearl Statement Earrings","American Prep","Silver","Earrings","Silver",,"Surgical Steel","Pearl, crystal, rhinestone, stud, accent","N","N",636,"C181450153","Silver tone plating over brass with glass crystal and pearl accents","Surgical steel posts | Style # C18145","Designed in the USA",8.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181450253.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181450253-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181450253-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181450253-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181450253-5.JPG"
"C181460114","400","Classic mod meets Americana glam with The Signature Stud Cuffs. Whether you're headed out for date night at your favorite sushi spot, or meeting your girlfriends at your favorite happy hour spot downtown, you'll be rocking your #ootd with these cuffs.","The Signature Stud Cuff","American Prep","White","Bracelets","Gold",,"Surgical Steel","Skinny, cuff, open, ball, stud, enamel","N","N",610,"C181460116","14k gold plated over surgical steel with enamel fill","Adjustable | Style # C18146","Designed in the USA",11.5,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C181460114.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460114-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460114-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460114-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460114-5.JPG"
"C181460116","400","Classic mod meets Americana glam with The Signature Stud Cuffs. Whether you're headed out for date night at your favorite sushi spot, or meeting your girlfriends at your favorite happy hour spot downtown, you'll be rocking your #ootd with these cuffs.","The Signature Stud Cuff","American Prep","Red","Bracelets","Gold",,"Surgical Steel","Skinny, cuff, open, ball, stud, enamel","N","N",610,"C181460116","14k gold plated over surgical steel with enamel fill","Adjustable | Style # C18146","Designed in the USA",11.5,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C181460116.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460116-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460116-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460116-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460116-5.JPG"
"C181460127","400","Classic mod meets Americana glam with The Signature Stud Cuffs. Whether you're headed out for date night at your favorite sushi spot, or meeting your girlfriends at your favorite happy hour spot downtown, you'll be rocking your #ootd with these cuffs.","The Signature Stud Cuff","American Prep","Black","Bracelets","Gold",,"Surgical Steel","Skinny, cuff, open, ball, stud, enamel","N","N",610,"C181460116","14k gold plated over surgical steel with enamel fill","Adjustable | Style # C18146","Designed in the USA",11.5,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C181460127.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460127-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460127-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460127-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460127-5.JPG"
"C181460227","400","Classic mod meets Americana glam with The Signature Stud Cuffs. Whether you're headed out for date night at your favorite sushi spot, or meeting your girlfriends at your favorite happy hour spot downtown, you'll be rocking your #ootd with these cuffs.","The Signature Stud Cuff","American Prep","Silver","Bracelets","Silver",,"Surgical Steel","Skinny, cuff, open, ball, stud, enamel","N","N",610,"C181460116","Surgical steel with enamel fill","Adjustable | Style # C18146","Designed in the USA",11.5,32.99,"https://www.cosmostylejewelry.com/CosmoImg/C181460227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181460227-5.JPG"
"C181470112","400","A timeless and effortless look that you can go to anytime -- Minimal yet chic, modern and subtle.
","The Chloe Link Bracelet","American Prep","Brown","Bracelets","Gold",,"Brass","Tortoiseshell, link, open","N","N",611,"C181470112","Gold tone plating over brass with acrylic accents","Toggle closure | Style # C18147","7"", 7.5"", 8""| Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181470112.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181470112-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181470112-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181470112-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181470112-5.JPG"
"C181470227","400","A timeless and effortless look that you can go to anytime -- Minimal yet chic, modern and subtle.
","The Chloe Link Bracelet","American Prep","Black","Bracelets","Silver",,"Brass","Link, open","N","N",611,"C181470112","Silver tone plating over brass with acrylic accents","Toggle closure | Style # C18147","7"", 7.5"", 8""| Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181470227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181470227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181470227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181470227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181470227-5.JPG"
"C181480109","400","You're always dressed to kill whether you're working from Nine to Wine or heading out to a party. Rely on The Posh Pearl Charm Bracelet to top off that fashion forward vibe you have going!","The Posh Pearl Charm Bracelet","American Prep","White","Bracelets","Gold","","Brass","Bauble, Ball, Pearl, Glass","N","N",612,"C181480109","Gold tone plating over brass with glass pearl accents","Toggle Closure | Style # C18148","7"", 7.5"", 8""| Designed In The USA",10,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181480109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181480109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181480109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181480109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181480109-5.JPG"
"C181480227","400","You're always dressed to kill whether you're working from Nine to Wine or heading out to a party. Rely on The Posh Pearl Charm Bracelet to top off that fashion forward vibe you have going!","The Posh Pearl Charm Bracelet","American Prep","Black","Bracelets","Silver","","Brass","Bauble, Ball, Pearl, Glass","N","N",612,"C181480109","Silver tone plating over brass with glass pearl accents","Toggle Closure | Style # C18148","7"", 7.5"", 8""| Designed In The USA",10,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181480227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181480227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181480227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181480227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181480227-5.JPG"
"C181490109","400","You look forward to your weekends with the girls, and love to catch happy hour downtown or kick it at the mall. Regardless of your schedule, you are always dressed to the nine's with your jewelry on point -- especially when wearing your vintage-chic meets Americana glam Pretty in Prep Link Bracelet.","The Pretty in Prep Link Bracelet","American Prep","Clear/Crystal","Bracelets","Gold",,"Brass","Crystal, Pavé, square, link","N","N",613,"C181490116","Gold tone plating over brass with glass crystal accents","Toggle closure | Style # C18149","7"", 7.5"", 8""| Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181490109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490109-5.JPG"
"C181490112","400","You look forward to your weekends with the girls, and love to catch happy hour downtown or kick it at the mall. Regardless of your schedule, you are always dressed to the nine's with your jewelry on point -- especially when wearing your vintage-chic meets Americana glam Pretty in Prep Link Bracelet.","The Pretty in Prep Link Bracelet","American Prep","Brown","Bracelets","Gold",,"Brass","Crystal, Pavé, square, link","N","N",613,"C181490116","Gold tone plating over brass with glass crystal and acrylic accents","Toggle closure | Style # C18149","7"", 7.5"", 8""| Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181490112.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490112-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490112-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490112-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490112-5.JPG"
"C181490116","400","You look forward to your weekends with the girls, and love to catch happy hour downtown or kick it at the mall. Regardless of your schedule, you are always dressed to the nine's with your jewelry on point -- especially when wearing your vintage-chic meets Americana glam Pretty in Prep Link Bracelet.","The Pretty in Prep Link Bracelet","American Prep","Red","Bracelets","Gold",,"Brass","Crystal, Pavé, square, link","N","N",613,"C181490116","Gold tone plating over brass with glass crystal accents","Toggle closure | Style # C18149","7"", 7.5"", 8""| Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181490116.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490116-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490116-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490116-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490116-5.JPG"
"C181490122","400","You look forward to your weekends with the girls, and love to catch happy hour downtown or kick it at the mall. Regardless of your schedule, you are always dressed to the nine's with your jewelry on point -- especially when wearing your vintage-chic meets Americana glam Pretty in Prep Link Bracelet.","The Pretty in Prep Link Bracelet","American Prep","Blue","Bracelets","Gold",,"Brass","Crystal, Pavé, square, link","N","N",613,"C181490116","Gold tone plating over brass with glass crystal accents","Toggle closure | Style # C18149","7"", 7.5"", 8""| Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181490122.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490122-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490122-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490122-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490122-5.JPG"
"C181490209","400","You look forward to your weekends with the girls, and love to catch happy hour downtown or kick it at the mall. Regardless of your schedule, you are always dressed to the nine's with your jewelry on point -- especially when wearing your vintage-chic meets Americana glam Pretty in Prep Link Bracelet.","The Pretty in Prep Link Bracelet","American Prep","Clear/Crystal","Bracelets","Silver",,"Brass","Crystal, Pavé, square, link","N","N",613,"C181490209","Silver tone plating over brass with glass crystal accents","Toggle closure | Style # C18149","7"", 7.5"", 8""| Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181490209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490209-5.JPG"
"C181490227","400","You look forward to your weekends with the girls, and love to catch happy hour downtown or kick it at the mall. Regardless of your schedule, you are always dressed to the nine's with your jewelry on point -- especially when wearing your vintage-chic meets Americana glam Pretty in Prep Link Bracelet.","The Pretty in Prep Link Bracelet","American Prep","Black","Bracelets","Silver",,"Brass","Crystal, Pavé, square, link","N","N",613,"C181490209","Silver tone plating over brass with glass crystal accents","Toggle closure | Style # C18149","7"", 7.5"", 8""| Designed in the USA",7.5,29.99,"https://www.cosmostylejewelry.com/CosmoImg/C181490227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181490227-5.JPG"
"C181500116","400","Classic mod meets Americana glam with The Sparkles & Stripes Enamel Cuffs. Whether you're headed out for date night at your favorite sushi spot, or meeting your girlfriends at your favorite happy hour spot downtown, you'll be rocking your #ootd with these cuffs.","The Sparkles & Stripes Enamel Cuff","American Prep","Red","Bracelets","Gold",,"Surgical Steel","Cuff, accent, crystal. Rhinestone","N","N",614,"C181500116","14k gold plated over surgical steel with enamel fill and glass crystal accents","Adjustable | Style # C18150","Designed in the USA",14.5,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181500116.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500116-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500116-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500116-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500116-5.JPG"
"C181500122","400","Classic mod meets Americana glam with The Sparkles & Stripes Enamel Cuffs. Whether you're headed out for date night at your favorite sushi spot, or meeting your girlfriends at your favorite happy hour spot downtown, you'll be rocking your #ootd with these cuffs.","The Sparkles & Stripes Enamel Cuff","American Prep","Navy","Bracelets","Gold",,"Surgical Steel","Cuff, accent, crystal. Rhinestone","N","N",614,"C181500116","14k gold plated over surgical steel with enamel fill and glass crystal accents","Adjustable | Style # C18150","Designed in the USA",14.5,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181500122.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500122-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500122-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500122-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500122-5.JPG"
"C181500127","400","Classic mod meets Americana glam with The Sparkles & Stripes Enamel Cuffs. Whether you're headed out for date night at your favorite sushi spot, or meeting your girlfriends at your favorite happy hour spot downtown, you'll be rocking your #ootd with these cuffs.","The Sparkles & Stripes Enamel Cuff","American Prep","Black","Bracelets","Gold",,"Surgical Steel","Cuff, accent, crystal. Rhinestone","N","N",614,"C181500116","14k gold plated over surgical steel with enamel fill and glass crystal accents","Adjustable | Style # C18150","Designed in the USA",14.5,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181500127.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500127-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500127-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500127-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500127-5.JPG"
"C181500154","400","Classic mod meets Americana glam with The Sparkles & Stripes Enamel Cuffs. Whether you're headed out for date night at your favorite sushi spot, or meeting your girlfriends at your favorite happy hour spot downtown, you'll be rocking your #ootd with these cuffs.","The Sparkles & Stripes Enamel Cuff","American Prep","Blue","Bracelets","Gold",,"Surgical Steel","Cuff, accent, crystal. Rhinestone, denim","N","N",614,"C181500116","14k gold plated over surgical steel with denim and glass crystal accents","Adjustable | Style # C18150","Designed in the USA",14.5,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181500154.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500154-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500154-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500154-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500154-5.JPG"
"C181500227","400","Classic mod meets Americana glam with The Sparkles & Stripes Enamel Cuffs. Whether you're headed out for date night at your favorite sushi spot, or meeting your girlfriends at your favorite happy hour spot downtown, you'll be rocking your #ootd with these cuffs.","The Sparkles & Stripes Enamel Cuff","American Prep","White","Bracelets","Silver",,"Surgical Steel","Cuff, accent, crystal. Rhinestone","N","N",614,"C181500116","Surgical steel with enamel fill and glass crystal accents","Adjustable | Style # C18150","Designed in the USA",14.5,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181500227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181500227-5.JPG"
"C181520109","400","You look forward to your weekends with the girls, and love to catch happy hour downtown or kick it at the mall. Regardless of your schedule, you are always dressed to the nine's with your jewelry on point -- especially when wearing your vintage-chic meets Americana glam Pretty in Prep Dainty Necklace.","The Pretty in Prep Dainty Necklace","American Prep","Clear/Crystal","Necklaces","Gold",,"Brass","Crystal, Pavé, square, link, dainty","N","N",620,"C181520116","Gold tone plating over brass with glass crystal accents","Lobster claw closure | Style # C18152","16""length | 3""extender chain | Designed in the USA",7.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181520109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520109-5.JPG"
"C181520112","400","You look forward to your weekends with the girls, and love to catch happy hour downtown or kick it at the mall. Regardless of your schedule, you are always dressed to the nine's with your jewelry on point -- especially when wearing your vintage-chic meets Americana glam Pretty in Prep Dainty Necklace.","The Pretty in Prep Dainty Necklace","American Prep","Brown","Necklaces","Gold",,"Brass","Crystal, Pavé, square, link, dainty","N","N",620,"C181520116","Gold tone plating over brass with glass crystal and acrylic accents","Lobster claw closure | Style # C18152","16""length | 3""extender chain | Designed in the USA",7.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181520112.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520112-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520112-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520112-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520112-5.JPG"
"C181520116","400","You look forward to your weekends with the girls, and love to catch happy hour downtown or kick it at the mall. Regardless of your schedule, you are always dressed to the nine's with your jewelry on point -- especially when wearing your vintage-chic meets Americana glam Pretty in Prep Dainty Necklace.","The Pretty in Prep Dainty Necklace","American Prep","Red","Necklaces","Gold",,"Brass","Crystal, Pavé, square, link, dainty","N","N",620,"C181520116","Gold tone plating over brass with glass crystal accents","Lobster claw closure | Style # C18152","16""length | 3""extender chain | Designed in the USA",7.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181520116.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520116-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520116-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520116-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520116-5.JPG"
"C181520122","400","You look forward to your weekends with the girls, and love to catch happy hour downtown or kick it at the mall. Regardless of your schedule, you are always dressed to the nine's with your jewelry on point -- especially when wearing your vintage-chic meets Americana glam Pretty in Prep Dainty Necklace.","The Pretty in Prep Dainty Necklace","American Prep","Blue","Necklaces","Gold",,"Brass","Crystal, Pavé, square, link, dainty","N","N",620,"C181520116","Gold tone plating over brass with glass crystal accents","Lobster claw closure | Style # C18152","16""length | 3""extender chain | Designed in the USA",7.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181520122.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520122-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520122-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520122-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520122-5.JPG"
"C181520209","400","You look forward to your weekends with the girls, and love to catch happy hour downtown or kick it at the mall. Regardless of your schedule, you are always dressed to the nine's with your jewelry on point -- especially when wearing your vintage-chic meets Americana glam Pretty in Prep Dainty Necklace.","The Pretty in Prep Dainty Necklace","American Prep","Clear/Crystal","Necklaces","Silver",,"Brass","Crystal, Pavé, square, link, dainty","N","N",620,"C181520209","Silver tone plating over brass with glass crystal accents","Lobster claw closure | Style # C18152","16""length | 3""extender chain | Designed in the USA",7.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181520209.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520209-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520209-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520209-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520209-5.JPG"
"C181520227","400","You look forward to your weekends with the girls, and love to catch happy hour downtown or kick it at the mall. Regardless of your schedule, you are always dressed to the nine's with your jewelry on point -- especially when wearing your vintage-chic meets Americana glam Pretty in Prep Dainty Necklace.","The Pretty in Prep Dainty Necklace","American Prep","Black","Necklaces","Silver",,"Brass","Crystal, Pavé, square, link, dainty","N","N",620,"C181520209","Silver tone plating over brass with glass crystal accents","Lobster claw closure | Style # C18152","16""length | 3""extender chain | Designed in the USA",7.5,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C181520227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181520227-5.JPG"
"C181530109","400","You adore date nights and look forward to getting ready to go out. Whether you decide on a mini skirt, slouchy top and wedges or rock your favorite destroyed denim jeans, you'll want to top off your look with The Blair Channel necklace. It's the perfect piece for that extra pop of sparkle.","The Blair Collar Necklace","American Prep","Clear/Crystal","Necklaces","Gold",,"Brass","Crystal, square, chunky, statement","N","N",621,"C181530116","Gold tone plating over brass with glass crystal accents","Lobster claw closure | Style # C18153","16""length | 3""extender chain | Designed in the USA",11.5,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181530109.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530109-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530109-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530109-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530109-5.JPG"
"C181530116","400","You adore date nights and look forward to getting ready to go out. Whether you decide on a mini skirt, slouchy top and wedges or rock your favorite destroyed denim jeans, you'll want to top off your look with The Blair Channel necklace. It's the perfect piece for that extra pop of sparkle.","The Blair Collar Necklace","American Prep","Red","Necklaces","Gold",,"Brass","Crystal, square, chunky, statement","N","N",621,"C181530116","Gold tone plating over brass with glass crystal accents","Lobster claw closure | Style # C18153","16""length | 3""extender chain | Designed in the USA",11.5,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181530116.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530116-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530116-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530116-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530116-5.JPG"
"C181530122","400","You adore date nights and look forward to getting ready to go out. Whether you decide on a mini skirt, slouchy top and wedges or rock your favorite destroyed denim jeans, you'll want to top off your look with The Blair Channel necklace. It's the perfect piece for that extra pop of sparkle.","The Blair Collar Necklace","American Prep","Blue","Necklaces","Gold",,"Brass","Crystal, square, chunky, statement","N","N",621,"C181530116","Gold tone plating over brass with glass crystal accents","Lobster claw closure | Style # C18153","16""length | 3""extender chain | Designed in the USA",11.5,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181530122.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530122-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530122-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530122-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530122-5.JPG"
"C181530127","400","You adore date nights and look forward to getting ready to go out. Whether you decide on a mini skirt, slouchy top and wedges or rock your favorite destroyed denim jeans, you'll want to top off your look with The Blair Channel necklace. It's the perfect piece for that extra pop of sparkle.","The Blair Collar Necklace","American Prep","Black","Necklaces","Gold",,"Brass","Crystal, square, chunky, statement","N","N",621,"C181530116","Gold tone plating over brass with glass crystal accents","Lobster claw closure | Style # C18153","16""length | 3""extender chain | Designed in the USA",11.5,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181530127.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530127-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530127-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530127-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530127-5.JPG"
"C181530153","400","You adore date nights and look forward to getting ready to go out. Whether you decide on a mini skirt, slouchy top and wedges or rock your favorite destroyed denim jeans, you'll want to top off your look with The Blair Channel necklace. It's the perfect piece for that extra pop of sparkle.","The Blair Collar Necklace","American Prep","White","Necklaces","Gold",,"Brass","Crystal, square, chunky, statement","N","N",621,"C181530116","Gold tone plating over brass with glass pearl accents","Lobster claw closure | Style # C18153","16""length | 3""extender chain | Designed in the USA",11.5,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181530153.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530153-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530153-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530153-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530153-5.JPG"
"C181530227","400","You adore date nights and look forward to getting ready to go out. Whether you decide on a mini skirt, slouchy top and wedges or rock your favorite destroyed denim jeans, you'll want to top off your look with The Blair Channel necklace. It's the perfect piece for that extra pop of sparkle.","The Blair Collar Necklace","American Prep","Black","Necklaces","Silver",,"Brass","Crystal, square, chunky, statement","N","N",621,"C181530227","Silver tone plating over brass with glass crystal accents","Lobster claw closure | Style # C18153","16""length | 3""extender chain | Designed in the USA",11.5,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181530227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181530227-5.JPG"
"C181540112","400","A timeless and effortless look that you can go to anytime -- Minimal yet chic, modern and subtle.
","The Chloe Link Necklace","American Prep","Brown","Necklaces","Gold",,"Brass","Tortoiseshell, link, open","N","N",621,"C181540112","Gold tone plating over brass with acrylic accents","Lobster claw closure | Style # C18154","27""length | 3""extender chain | Designed in the USA",11,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181540112.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181540112-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181540112-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181540112-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181540112-5.JPG"
"C181540227","400","A timeless and effortless look that you can go to anytime -- Minimal yet chic, modern and subtle.
","The Chloe Link Necklace","American Prep","Black","Necklaces","Silver",,"Brass","Link, open","N","N",621,"C181540112","Silver tone plating over brass with acrylic accents","Lobster claw closure | Style # C18154","27""length | 3""extender chain | Designed in the USA",11,34.99,"https://www.cosmostylejewelry.com/CosmoImg/C181540227.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181540227-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181540227-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181540227-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C181540227-5.JPG"
